Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1270.075	-1484.825	214.7493	0.9848692	2.114638	0.632092	0.367908	2.371727
6	-1268.832	-1483.952	215.1196	0.989064	1.856368	0.622502	0.377498	2.229928
12	-1272.651	-1487.153	214.5017	1.130937	1.723128	0.622502	0.377498	2.584379
18	-1275.958	-1490.949	214.9917	1.130937	2.383331	0.639629	0.360371	2.027099
24	-1272.196	-1487.047	214.8508	1.18921	2.561603	0.625383	0.374617	2.023224
30	-1270.698	-1485.432	214.7335	1.214515	2.904718	0.625383	0.374617	1.979754
36	-1276.307	-1491.172	214.8653	1.123906	2.904718	0.60286	0.39714	1.952151
42	-1282.13	-1496.91	214.7798	1.329552	2.879715	0.679296	0.320704	1.878263
48	-1290.199	-1505.148	214.9495	1.322118	2.932659	0.687404	0.312596	1.750305
54	-1280.334	-1495.867	215.5337	1.322118	2.044264	0.664325	0.335675	1.649311
60	-1272.552	-1488.16	215.6085	1.404612	2.658759	0.613968	0.386032	1.287688
66	-1281.891	-1497.151	215.2602	1.238693	2.74366	0.621671	0.378329	1.648803
72	-1281.203	-1497.017	215.8143	1.522529	1.889606	0.599432	0.400568	1.357429
78	-1277.798	-1493.28	215.4817	1.339114	1.844106	0.635778	0.364222	1.759097
84	-1274.417	-1489.799	215.3818	1.135964	1.161098	0.610479	0.389521	2.297487
90	-1281.9	-1496.891	214.9913	1.168629	1.530881	0.610479	0.389521	2.336646
96	-1275.648	-1489.901	214.2529	1.001353	2.684292	0.582958	0.417042	2.49109
102	-1275.117	-1489.232	214.1153	1.053343	2.407186	0.601691	0.398309	2.627812
108	-1284.02	-1498.721	214.7013	1.172627	1.655167	0.573875	0.426125	2.462251
114	-1280.745	-1496.007	215.2621	1.172627	2.917894	0.57321	0.42679	1.639126
120	-1278.945	-1493.853	214.9079	1.326607	3.326385	0.57321	0.42679	1.662072
126	-1287.159	-1501.95	214.7912	1.210762	3.322015	0.57321	0.42679	1.826312
132	-1287.428	-1503.08	215.6519	1.251977	1.678243	0.747849	0.252151	1.776213
138	-1289.2	-1504.806	215.6064	1.403414	1.73182	0.698311	0.301689	1.676518
144	-1296.737	-1512.357	215.6199	1.312436	2.724871	0.700305	0.299695	1.328278
150	-1287.924	-1504.111	216.187	1.589628	1.402922	0.637888	0.362112	1.272054
156	-1275.654	-1491.724	216.07	1.589628	1.788804	0.612536	0.387464	1.140519
162	-1276.928	-1492.922	215.9936	1.573693	1.992664	0.612536	0.387464	1.111087
168	-1274.567	-1491.101	216.534	1.602014	1.33194	0.608064	0.391936	1.000134
174	-1280.102	-1495.883	215.7818	1.347835	2.289977	0.624145	0.375855	1.341347
180	-1273.508	-1489.1	215.5929	1.292573	1.981487	0.624145	0.375855	1.654323
186	-1288.906	-1505.001	216.0951	1.292573	1.515695	0.604778	0.395222	1.51
192	-1295.701	-1511.456	215.7554	1.34434	1.532619	0.672044	0.327956	1.710008
